,Full problem credits (Only copy the full italicized portion at the bottom),"Revised Question Text (Optional, don't include italicized credits part)","Revised Fermi Answer, (Optional) ->  Must be an integer","Explanation (If changing answer, provide a brief explanation for how the new answer was reached, nothing insanely long or fancy needed)","Credits (Optional, but we want to thank whoever fixed the problem :D, preferred discord or forums name) "
3/7/2024 11:39:03,"RobertYL, daily fermi questions day #125 [2018 Medford Q17]        ",How many light-years across is the visible universe?,11,"Question text is kinda flawed (original text ""How many light-years is the visible universe?"" leaves the ambiguity of radius or total length/diameter; total length is likely implied) but the observable universe (including the particle horizon) is ~46.5 billion light years in radius. This means the diameter is 93 billion light years, so the answer is 11. If the question were talking about radius we would round down to 10.",errorfunction
3/7/2024 11:45:33,"SSSs Fermi (luminosityfan) 17-18, #21        ",,19,"""answer was Not sure, but it sure isn't 10"" was the original corrected answer :/ The sun has a radius of 6.96*10^8 meters, so it's surface area is 6.1*10^18 m^2. Newspaper sizes vary quite a bit with different sources getting different numbers. The lower bound seems to be 279 mm x 533 mm and the upper seems to be 597 mm x 749 mm, but luckily for us this means that about 2-6 newspapers fit in a square meter (using lower and upper bounds for paper size) so the answer regardless of dimensions is 19 (range of 1.2-3.6e19).",errorfunction
3/7/2024 11:54:48,"BirdSO Mini Invitational 21-22, #52        ",,90,"Simplifying R value units gives that [R] = K m^2 / W = K s^3 kg^-1. In Planck units, R value is the Planck temperature times the Planck time cubed divided by the Planck mass, which gives (1.42e32*(5.39*10^-44)^3)/(2.18*10^-8)=1.02e-90. This means that there are 10^90 Planck R in an SI R, so the answer should be +90.",errorfunction
3/9/2024 23:40:00,"UChicago Invitational 22-23, #14        ",,-4,"the ""height"" of a piece of paper refers to the dimensions of the paper along its surface, not its thickness",
3/10/2024 15:15:19,"UChicago Invitational 22-23, #11        ",How many M&Ms would fit within the sun?,33,"There are approximately 10^3 M&M's per liter (using online sources), and 10^3 liters in a meter cubed. The sun's volume can be calculated to be 4 x 10^18 Km3 (using r=10^6 Km). There are 10^9 m3 in a km3 so the final equation is 10^3 x 10^3 x 10^9 x 4 x 10^18, or ~ 10^33 M&M's in the sun.",JazzyX
3/11/2024 15:23:00,"Raisbeck Aviation Invitational 17-18, #30        ",,-19,"The ""corrected"" explanation seems to think a nanometer is 0.001 m (a millimeter) and is incorrect. The original answer is correct.",cubicfrog on discord
3/11/2024 20:57:02,"GullSO Invitational 23-24, #36        ",,5,theres not even 10^20 numbers from 0 to 1 million. the frequency of happy numbers is about 0.1 so 5,
3/12/2024 11:49:40,"Carolina Invitational 22-23, #31        ",,6,"For some reason, the very specific Google search for ""surface area of a blue whale"" didn't give me anything (except maybe being put on an EPA watch list), but the length is known to be about 24 meters on average, and the width is known to be about 4 meters. If we approximate the body of a blue whale as a cylinder (it could be worse), we get about 300 m^2 for the surface area. For toothpicks, we know their dimensions are 64 mm in length and 2 mm in thickness, the total amount of toothpicks that fit on the blue whale is 300 m^2 / (0.064*0.002 m^2) ≈ 2.5 * 10^6, so the answer is 6.",errorfunction
3/13/2024 19:29:29,"University of Michigan Invitational 17-18, #3        ","Assume that in a game of Rock-Paper-Scissors, the hands played by both participants are chosen completely randomly with an equal chance of choosing Rock, Paper, or Scissors. If the two choose the same hand, they do another round. What is the probability the two play the same hand exactly 72 times before finally declaring a winner? ",-35,"The probability of a tie is 1 (the first player can choose anything) * 1/3 (probability of the second player choosing the same one (1 out of 3)). 1 * 1/3 = 1/3, and the probability of that happening 72 times in a row is (1/3)^72, which is approximately 10^-35.",JazzyX
3/16/2024 12:00:42,"Duke Invitational 22-23, #41        ",,2,PVA molar mass is 86.09,
3/18/2024 11:13:21,"Seven Lakes Invitational 17-18, #17        ",,4,"Earth's surface area is approximately 5* 10^14, and 30% of that is land, so there is about 1.5 *10^14 sq meters of land on the Earth. Divide that by population of roughly 8 billion = 1.87*10^4 sq. m /person",
3/19/2024 9:31:38,"SOUP Invitational 22-23, #17        ",,7,1kgU*(4*10^6MJ/1kgU)=4*10^6MJ=4*10^12J=10^9Kcal*(1mi/100Kcal)=10^7mi->7,
3/19/2024 9:34:46,"Duke Invitational 22-23, #21        ",,5,"debt=$3*10^13, citizens=3*10^8 people ($3*10^13)/(3*10^8people)=$10^5/person -> 5",
3/19/2024 15:17:48,"RobertYL, daily fermi questions day #121 [2019 Captains Tryout: Seven Lakes Q24]        ",,2,"Wellington to London is 18776km, Suez Canal is 193km, 18776/193=97 -> 2",
3/19/2024 19:42:16,"RobertYL, daily fermi questions day #47 [2018 Polytechnic Q2]        ",,9,"10-12% of people are left handed. There are 8 billion people in the world. That is roughy 800,000,000 - 960,000,000 which is 10^8 ",Evan&Matt 
3/20/2024 8:51:00,"MIT Invitational 18-19, #8        ",You’re halfway through the test and you think “This test is so dumb. Where are the questions that are like ‘What’s 7 raised to the 34th power?’” What’s 7^−34?,,,
3/20/2024 9:38:29,"BirdSO In-Person Invitational 23-24, #49        ",,,im pretty sure thats more than 1 question lol,
3/20/2024 9:42:18,"MIT Invitational 22-23, #11        ",,10,"ssn is 9 digits, highest one starts with a 5 so like, isnt it 10 then",
3/20/2024 9:44:36,"Centerville Invitational 17-18, #8        ",,-8,"mi to km is 1:1600, km to cm is 1:100000, so its -3-5=-8",
3/20/2024 10:15:03,"UT Austin Regionals 22-23, #5        ","What is the probability that everyone in a family of 4 survives the virus? [Virus that escaped containment, kills 90% of population]",,,
3/20/2024 13:41:37,"MIT Invitational 18-19, #8        ",You’re halfway through the test and you think “This test is so dumb. Where are the questions that are like ‘What’s 7 raised to the 34th power?’” What’s 7^(-34),,,
3/21/2024 8:43:43,"Yale Invitational 17-18, #29        ",,11,"volume of the ESB is 1047723.3239 cubic meters, divide by 19.3 *10^-4 g/m^3 (density of gold) to get 54286182600, which is 11",
3/21/2024 9:07:54,"University of Michigan Invitational 17-18, #6        ",,17,surface area of jupiter divide by (SA of a playing card *54) gives 17 ,
3/21/2024 9:34:19,"MIT Invitational 17-18, #34        ",,8,"the explanation is wrong cause like, it was there for 13 years assuming that they were talking about the september in 2017 before this test was given. i mean mit is probably right man. 13*30m is like 400m so 8",
3/21/2024 13:18:16,"Columbia Invitational 17-18, #22        ",,4,divide the perimeter of the United States by 2000 gives 25940.5 watchtowers. -> 4,
3/21/2024 14:14:47,"MIT Invitational 18-19, #4        ",,58,"question gives answer in kilocalories technically, so mult by 1000 so 58",teenmoturtle
3/21/2024 15:17:11,"Golden Gate Invitational 22-23, #19        ",5^222,,,None
3/21/2024 15:25:20,"Cornell Invitational 22-23, #9        ",,23,11 cubic cm = 11ml = 11g = 11/18.02 ~ 0.5 mol = ~3e23 molecules,
3/21/2024 17:26:03,"Harvard Invitational 22-23, #6        ",,~,answer is negative???,
3/21/2024 17:29:49,"Centerville Invitational 17-18, #30        ",,20,15 A = 15 coulombs/second. Divide 15 coulombs by the charge of an electron (1.6*10^-19) to get 9.38^19 --> 20,
3/21/2024 18:42:09,"RobertYL, daily fermi questions day #77 [2019 CMU Q29]        ",,33,"idk what prev was on?? volts has nothing to do with this volume of the sun ~= 10^27 m^3 = 10^33 cm^3, syrup is about as dense as water so",
3/21/2024 19:14:12,"MIT Invitational 22-23, #35        ",,2,Question is at the very least ambiguous as to which sentence it is referring to,
3/21/2024 20:13:58,"Golden Gate Invitational 22-23, #41        ",,,Can this question be removed or details added to make it answerable,
3/22/2024 18:24:35,"Brown Invitational 22-23, #7        ",,2,"Patriots only have 541 wins in history, which rounds up to 3",
3/23/2024 8:43:27,"Captains Tryouts Carmel 17-18, #46        ",,26,"The volume of the Atlantic Ocean is about 3.5e8 km^3 = 3.5e17 m^3, which multiplied by the density of water (1e3 kg/m^3) becomes 3.5e20 kg = 3.5e23 g. The specific heat of water is 4.184 J/(g K) and we probably need to heat up all the water by an average of 90 K (because the average temperature of ocean water is around 10 C° (accounting for the very cold water below the surface), the energy needed for the water to get to boiling point is 3.5e23 g * 4.184 J/(g K) * 90 K = 1.3e27 J = 3.2e25 cal. BUT WAIT, we need to account for the latent heat of evaporation, which is 2260 J/g = 540 cal/g, so our final answer is 3.2e25 cal + 3.5e23 g * 540 cal/g = 2.2e26 cal, so the answer is 26. ",errorfunction
3/23/2024 8:52:36,"Harvard Invitational 22-23, #7        ",,25,"Speed of light c = (3e8 m/s) * (1 carbon radius / 1.7e-10 m) * (3.2e7 s / 1 year) * (1 year / 5 dog years) = 1.1e25 carbon radii/dog year. It turns out that dog years apparently don't scale linearly with time until a certain age (why?????), but after that it scales to about 5 dog years per year. ",errorfunction
3/23/2024 9:13:37,"BirdSO Satellite Invitational 21-22, #35        ",,12,"6^16 = 2.82e12, so answer is 12. smh ggso please use a calculator :)",errorfunction
3/23/2024 9:27:32,"SSSS Fermi (Adi1008) 17-18, #49        ",,3,"Paper thickness is 0.5 mm = 5e-4 m, blue light wavelength is about 400 nm = 4e-7 m, dividing gives 1.25e3, so the answer is 3.",errorfunction
3/23/2024 10:00:58,"Rickards Invitational 23-24, #46        ",,13,"Average adult male has 36 trillion cells, average adult female has 28 trillion cells, difference is 8 trillion cells which is 13. ",errorfunction
3/23/2024 10:42:11,"RobertYL, daily fermi questions day #80 [2018 Medford Q11]        ",,12,"Earth-Sun distance is 1.5e11 m, length of popsicle stick (accounting for glue) is about 3.5-4 inches = ~0.095 m, so the number of sticks needed is 1.5e11 / 0.095 = 1.6e12, so the answer is 12. ",errorfunction
3/23/2024 11:04:59,"RobertYL, daily fermi questions day #41 [2018 Carmel Tryouts Q29]        ",,14,"Thickness of quarter is about 1mm = 1e-3 m (previous person who corrected this said 1 mm = 1e-4 m), Earth-Sun distance is 1.5e11 m, so total quarters needed is 1.5e11 / 1e-3 = 1.5e14, so the answer is 14",errorfunction
3/23/2024 12:31:11,"SSSs Fermi (luminosityfan) 17-18, #6        ",,15,"4.367 ly = 4.13e16 m, using speed of 100 m / 9.58 s = 10.44 m/s, total time is 4.13e16 m /10.44 m/s = 3.96e15 s, so the answer is 15",errorfunction
3/24/2024 0:50:09,"Ohio State Invitational 22-23, #26        ",,5,"tangential speed of earth is ~ 1000 mph
1000 * 24 * 7 = 168000
5",teenmoturtle
3/24/2024 1:21:44,"SSSs Fermi (luminosityfan) 17-18, #14        ",,41,"volume of milky way = 3 * 10^61
volume of earth = 10^20
61 - 20 = 41",teenmoturtle
3/24/2024 10:46:41,"BirdSO Satellite Invitational 21-22, #52        ",,5,65536 is the result,cindyxxmel
3/24/2024 22:53:58,"Brown Invitational 22-23, #7        ",,3,Previous correction stated that they have 541 wins. That's a fermi answer of 3. ,BirdyBirdyBirdyBird
3/24/2024 23:28:21,"University of Michigan Invitational 18-19, #20        ",,-9,SEMs have resolutions of 0.5-4 nanometers. That corresponds with -9,
3/25/2024 11:27:09,"Brown Invitational 22-23, #7        ",,3,"the person who corrected it initially claimed that they have 541 wins. assuming this is correct, the answer rounds up to 3 not 2. the original answer is correct.",yert
3/25/2024 18:29:48,"SOUP Invitational 23-24, #40        ",,4,"Real earth radius = 6 million meters, real Jupiter radius = 70 million meters. Soccer ball has a radius of 11 cm, so scaled down Jupiter would have a radius of 70/6 * 0.11 = 1.28m, and a volume of 4/3*pi*(1.28)^3 = 8.8m^3 = 8800 L —> 4",
